1#Luis#López#Gómez#49#H#605865866#1865,33#51605319N
2#Marta#Parra#Martínez#49#M#695670197#1033,69#99520514C
3#Juan#Gómez#Bosco#26#H#675911678#2542,34#52196528Y
4#Elena#Fernández#Parra#62#M#629340184#1008,92#76311360M
5#Pedro#Fernández#Fernández#26#H#690098042#1505,6#93929070Z
6#Ana#Ginés#Fernández#56#M#635499352#1791,78#96139813C
7#Juan#Martínez#Abad#27#H#624528495#1156,37#76407086M
8#Marta#Guillén#López#24#M#664250260#2400,78#32116307G
9#Ana#Bosco#Abad#30#M#640992210#2961,81#92489611X
10#Juan#Guillén#Guillén#33#H#693835007#2743,12#15315533V
11#Juan#Ginés#Rodríguez#51#H#692999925#2300,72#72025772F
12#Pedro#Bosco#Gómez#43#H#639569913#2713,16#15143466J
13#Tomás#Martínez#Guillén#37#H#683515426#1085,01#66933245W
14#María#Fernández#Martínez#54#M#644337103#1308,84#92710065D
15#Juan#Rodríguez#Bosco#47#H#653884698#1261,11#16350393S
16#Elena#Parra#Fernández#47#M#681587421#1978,95#82443021G
17#María#Gómez#López#35#M#621828888#1664,5#80227097S
18#Tomás#Gómez#Fernández#40#H#699168086#2870,42#16471525Y
19#María#Fernández#Rodríguez#51#M#698872265#1536,45#14986014L
20#Tomás#Parra#Rodríguez#45#H#615856090#1105,63#97928100B
21#Juan#López#Abad#35#H#632589581#2065,03#59544574N
22#Luis#Parra#Parra#44#H#609858178#2655,68#71990924G
23#Carlos#López#Bosco#24#H#682094028#1595,83#48514689F
24#María#Martínez#Martínez#49#M#610698207#2798,39#48728368Q
25#Juan#López#Rodríguez#29#H#611791845#1318,95#46260739B
26#Marta#Martínez#López#25#M#615171889#1047,22#69596823L
27#Ricardo#Gómez#Ginés#49#H#624678010#1307,21#95915560V
28#Carlos#Rodríguez#Fernández#52#H#611460205#2666,47#17571243W
29#Elena#Guillén#Martínez#31#M#683062934#2935,86#96166043F
30#Tomás#Parra#Parra#18#H#649003809#2751,36#18462427M
31#Ana#Abad#Abad#36#M#630259548#1489,06#90280147H
32#Elena#Bosco#Bosco#43#M#691458180#1051,68#66324398B
33#Marta#Rodríguez#Martínez#59#M#643083053#1947,99#57294043P
34#Marta#Martínez#Gómez#30#M#614080122#2163,34#78361502L
35#Luis#López#Fernández#35#H#661001935#2317,77#96452031J
36#Marta#Bosco#Rodríguez#24#M#641971306#1727,41#25803322J
37#Luis#Rodríguez#Guillén#21#H#676877705#1451,7#78925920V
38#Juan#Martínez#Bosco#33#H#630751263#2467,83#89522183L
39#Marta#Fernández#Abad#45#M#687049017#2232,27#52025233S
40#Pedro#Abad#Abad#54#H#662293548#2971,94#98835416T
41#Tomás#Fernández#Bosco#36#H#606767051#2130,88#10955313E
42#Juan#Rodríguez#Guillén#47#H#682941815#1596,95#42998104H
43#Tomás#Fernández#Ginés#47#H#686677271#1635,87#77573641T
44#Ana#Bosco#López#44#M#681245585#1667,02#76370737L
45#Elena#Ginés#Rodríguez#42#M#692562769#2711,69#88334060F
46#Marta#Gómez#Guillén#43#M#669317550#1947,4#36504013T
47#Marta#Gómez#Guillén#57#M#602470715#1114,41#65985327Y
48#Luis#Ginés#Gómez#27#H#675263031#1035#91185552M
49#Pedro#Parra#Bosco#42#H#676991120#1945,96#10145527C
50#Pedro#Fernández#Ginés#59#H#643680583#1165,26#37339115H
